model,year,transmission,mileage,engineSize,fuelType,hp,lkm,price
A3,2009,Automatyczna,220800,1968,Diesel,140,7.2,36900
A6,2005,Manualna,137400,2698,Diesel,180,9,23900
A1,2019,Automatyczna,30485,999,Benzyna,116,5,83500
RS4,2021,Automatyczna,41000,2894,Benzyna,450,12,299000
A6,2012,Automatyczna,143600,1968,Diesel,177,6,64000
A4,2012,Manualna,308000,1968,Diesel,143,5,35800
Q5,2023,Automatyczna,1,1968,Diesel,204,6,267800
A3,2023,Automatyczna,1,1498,Benzyna,150,6,128800
S8,2023,Automatyczna,10,3996,Benzyna,571,6,696600
A4,2016,Manualna,259000,1968,Diesel,150,4,67900
A4,2014,Manualna,204000,1968,Diesel,136,4,54900
Q3,2022,Automatyczna,11800,1984,Benzyna,230,9.5,169900
A5,2012,Automatyczna,194755,1968,Diesel,190,5,58000
Q5,2017,Automatyczna,89900,1968,Diesel,190,5,129900
A6,2019,Automatyczna,118000,1968,Diesel,163,5,186999
A4,2016,Automatyczna,230000,1968,Diesel,190,4.7,89900
A6,2015,Automatyczna,142880,2967,Diesel,272,5,73200
A4,2007,Manualna,240000,1968,Diesel,170,6.7,18900
Q5,2016,Automatyczna,108000,1984,Benzyna,224,9,97900
A4,2010,Manualna,202900,1968,Diesel,120,6.3,35900
Q5,2017,Automatyczna,80000,1984,Benzyna,211,10,101700
Q3,2014,Automatyczna,212000,1968,Diesel,177,5,62500
A4,2022,Automatyczna,1600,1984,Benzyna,150,7,139999
A3,2008,Manualna,330000,1896,Diesel,105,7,24900
A4,2008,Manualna,308000,1968,Diesel,136,5.5,28999
A4,2007,Manualna,185000,1968,Diesel,140,8,25900
A4,2016,Automatyczna,115475,1984,Benzyna,252,7,84900
Q7,2015,Automatyczna,177000,2967,Diesel,245,8,91000
A4,2014,Manualna,222000,1968,Diesel,136,5.3,49900
Q7,2023,Automatyczna,20,2967,Diesel,286,8,339000
A3,2011,Manualna,168300,1968,Diesel,140,6,34900
A6,2007,Manualna,220700,1984,Benzyna,170,10,22400
A3,2016,Manualna,189000,1968,Diesel,150,5,64900
A4,2013,Manualna,199400,1968,Diesel,150,5,53900
A5,2011,Manualna,59000,1968,Diesel,163,5,31000
A3,2009,Manualna,195803,1896,Diesel,105,6,27900
A4,2020,Automatyczna,45762,1984,Benzyna,265,9,199000
A4,2011,Manualna,249000,1968,Diesel,136,5.3,37900
A3,2007,Manualna,180476,1595,Benzyna,102,9.5,24800
A6,2004,Manualna,272000,1896,Diesel,130,7,19999
S7,2014,Automatyczna,124000,3993,Benzyna,450,13,149995
A4,2008,Manualna,322220,1968,Diesel,120,5,28900
A6,2015,Automatyczna,288129,1968,Diesel,190,5,71900
Q7,2007,Automatyczna,319000,2967,Diesel,233,14,36900
A4,2009,Manualna,247000,1968,Diesel,143,5,27700
Q5,2010,Automatyczna,224000,1968,Diesel,170,5,62900
A5,2019,Automatyczna,34290,1984,Benzyna,245,8,190000
Q5,2015,Automatyczna,165000,1984,Benzyna,224,9,79900
A3,2020,Automatyczna,59800,1498,Benzyna,150,6,79990
A5,2020,Automatyczna,64000,1984,Benzyna,265,6,82000
Q5,2020,Automatyczna,67523,1984,Benzyna,252,8.4,147000
A4,2014,Automatyczna,208650,1968,Diesel,143,5.6,42900
Q5,2018,Automatyczna,163000,1984,Benzyna,252,8,94000
TT S,2023,Automatyczna,7000,1984,Benzyna,320,9,44000
A5,2015,Manualna,205000,1968,Diesel,190,6,66700
A8,2021,Automatyczna,45967,2967,Diesel,286,8,394900
A3,2013,Manualna,199721,1968,Diesel,150,4,50500
A4,2018,Automatyczna,125000,1984,Benzyna,252,4,115800
Q5,2023,Automatyczna,1,1968,Diesel,204,6,223500
S3,2023,Automatyczna,1,1984,Benzyna,310,9,215300
SQ7,2019,Automatyczna,88500,3956,Diesel,435,8,440000
A8,2011,Automatyczna,256955,4134,Diesel,350,9.3,80999
A4,2015,Manualna,232000,1968,Diesel,150,5.6,51800
A6,2019,Automatyczna,59985,1968,Diesel,204,5,174900
A3,2009,Manualna,207412,1968,Diesel,170,5,27900
Q7,2008,Automatyczna,169000,2967,Diesel,240,12,54000
Q5,2011,Automatyczna,163700,2967,Diesel,240,9,34900
A3,2014,Automatyczna,215211,1968,Diesel,150,5.5,59900
A6,2012,Automatyczna,338000,2967,Diesel,313,8,99000
Q5,2018,Manualna,161900,1968,Diesel,150,5,122900
A6,2010,Automatyczna,319000,1968,Diesel,170,7,35900
A4,2008,Automatyczna,296000,2698,Diesel,190,8,33900
Q8,2023,Automatyczna,10,2698,Elektryczny,408,8,390600
A4 Allroad,2022,Automatyczna,27000,1968,Diesel,204,5,255840
A7,2011,Automatyczna,229000,2967,Diesel,245,7,78000
A3,2004,Manualna,199000,1984,Benzyna,150,7,13900
A6,2004,Automatyczna,200000,4163,Benzyna,334,19,32900
Q8,2023,Automatyczna,1,2967,Diesel,286,19,563100
Q7,2023,Automatyczna,1,2967,Diesel,231,7,389800
A7,2023,Automatyczna,1,1984,Benzyna,265,8,368200
RS3,2023,Automatyczna,1,2480,Benzyna,400,8,277300
A3,2020,Automatyczna,29000,1395,Hybryda,150,8,149000
A1,2012,Manualna,160100,1598,Diesel,90,4,18900
A6 Allroad,2017,Automatyczna,114500,2967,Diesel,320,7,129900
A6,2007,Automatyczna,238872,2967,Diesel,240,9.3,30000
e-tron GT,2023,Automatyczna,10,2967,Elektryczny,476,9.3,462975
A6,2015,Automatyczna,237000,1968,Diesel,190,5.3,84000
Q8,2023,Automatyczna,10,1968,Elektryczny,408,5.3,390600
A4,2013,Manualna,280000,2967,Diesel,245,7,47897
A6 Allroad,2023,Automatyczna,10,2967,Diesel,286,6,419670
A5,2019,Automatyczna,75987,1968,Diesel,190,4,129900
A4,2007,Manualna,358124,1968,Diesel,136,6.1,15800
A4,2003,Manualna,216543,1781,Benzyna,163,11,16800
A6,2017,Automatyczna,103500,1968,Diesel,190,5,110000
A3,2005,Manualna,198000,1595,Benzyna,102,9,15900
